university,course_dept,course_number,course_title,description,professors,recent_semesters,credits,url
stanford,CS,57N,CS 57N - Randomness: Computational and Philosophical Approaches,,M. Wootters,Fall 2019,,https://www.coursicle.com/stanford/courses/CS/57N/
stanford,CS,58N,CS 58N - The Blockchain Revolution Will Not Be Televised,,John Mitchell,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/58N/
stanford,CS,62N,CS 62N - Let There Be Computations,"The class will discuss the Theory of Computing as an ambitious intellectual endeavor with impact beyond Computer Science. What are computations? How can their study capture important aspects of the evolution of species, the structure of social networks, and the working of your smart phone? What are the laws of efficiency and complexity that govern computations? We will see surprising algorithms for very familiar problems as well as simple problems no one knows how to solve efficiently. We will encounter logic paradoxes that expose the limitations of computations and explore the different worlds we may be living in, depending on the answers to some of the central problems on computations. The class is intended for students with a wide range of interests. The course will not involve programming. While our class will not rely on any deep mathematics (beyond basic high-school math) we will deal with mathematical formalization of concepts and with mathematical problem-solving. Therefore, some mathematical maturity and interest would be useful. Class Notes: Introductory Seminar. Preference to first-year students; sophomores admitted if space available. Advance sign-up process and deadlines at http://introsems.stanford.edu.",O. Reingold,Spring 2018,3,https://www.coursicle.com/stanford/courses/CS/62N/
stanford,CS,80Q,CS 80Q - Race and Gender in Silicon Valley,,Cynthia Lee; C. Lee,"Winter 2020, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/80Q/
stanford,CS,81SI,CS 81SI - AI Interpretability and Fairness,,Omer Reingold,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/81SI/
stanford,CS,82SI,CS 82SI - Wellness in Tech: Designing an Intentional Lifestyle in a Tech-Driven World,,Chris Piech,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/82SI/
stanford,CS,83,CS 83 - Playback Theater,,Omer Reingold; O. Reingold,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/83/
stanford,CS,84,CS 84 - Emotional Intelligence,,Sebastian Thrun,Spring 2020,,https://www.coursicle.com/stanford/courses/CS/84/
stanford,CS,91SI,CS 91SI - Digital Canvas: an Introduction to UI/UX Design,,Jerry Cain,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/91SI/
stanford,CS,93,CS 93 - Teaching AI,,A. Ng,Fall 2019,,https://www.coursicle.com/stanford/courses/CS/93/
stanford,CS,100A,CS 100A - Problem-solving Lab for CS106A,,Nick Parlante; N. Parlante,"Winter 2020, Fall 2019",,https://www.coursicle.com/stanford/courses/CS/100A/
stanford,CS,101,CS 101 - Introduction to Computing Principles,"Introduces the essential ideas of computing: data representation, algorithms, programming ""code"", computer hardware, networking, security, and social issues. Students learn how computers work and what they can do through hands-on exercises. In particular, students will see the capabilities and weaknesses of computer systems so they are not mysterious or intimidating. Course features many small programming exercises, although no prior programming experience is assumed or required. CS101 is not a complete programming course such as CS106A. CS101 is effectively an alternative to CS105. A laptop computer is recommended for the in-class exercises. Class Notes: May be taken for 3 units by graduate students.",A. Taylor,"Fall 2018, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/101/
stanford,CS,102,CS 102 - Working with Data - Tools and Techniques,"Aimed at non-CS undergraduate and graduate students who want to learn the basics of big data tools and techniques and apply that knowledge in their areas of study. Many of the world's biggest discoveries and decisions in science, technology, business, medicine, politics, and society as a whole, are now being made on the basis of analyzing massive data sets. At the same time, it is surprisingly easy to make errors or come to false conclusions from data analysis alone. This course provides a broad and practical introduction to big data: data analysis techniques including databases, data mining, and machine learning; data analysis tools including spreadsheets, relational databases and SQL, Python, and R; data visualization techniques and tools; pitfalls in data collection and analysis; historical context, privacy, and other ethical issues. Tools and techniques are hands-on but at a cursory level, providing a basis for future exploration and application. Prerequisites: comfort with basic logic and mathematical concepts, along with high school AP computer science, CS106A, or other equivalent programming experience.",Jennifer Widom; J. Widom,"Fall 2020, Spring 2020, Spring 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/102/
stanford,CS,103,CS 103 - Mathematical Foundations of Computing,"Mathematical foundations required for computer science, including propositional predicate logic, induction, sets, functions, and relations. Formal language theory, including regular expressions, grammars, finite automata, Turing machines, and NP-completeness. Mathematical rigor, proof techniques, and applications. Prerequisite: CS106B or equivalent. CS106B may be taken concurrently with CS103. Class Notes: May be taken for 3 units by graduate students.",Cynthia Lee; K. Schwarz; C. Lee,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/103/
stanford,CS,103A,CS 103A - Mathematical Problem-solving Strategies,Problem solving strategies and techniques in discrete mathematics and computer science. Additional problem solving practice for CS103. In-class participation required. Prerequisite: consent of instructor. Co-requisite: CS103.,Cynthia Lee; A. Liu; K. Schwarz; C. Lee,"Winter 2020, Fall 2019, Fall 2018, Spring 2018, Winter 2017",1,https://www.coursicle.com/stanford/courses/CS/103A/
stanford,CS,105,CS 105 - Introduction to Computers,For non-technical majors. What computers are and how they work. Practical experience in programming. Construction of computer programs and basic design techniques. A survey of Internet technology and the basics of computer hardware. Students in technical fields and students looking to acquire programming skills should take 106A or 106X. Students with prior computer science experience at the level of 106 or above require consent of instructor. Prerequisite: minimal math skills. Class Notes: May be taken for 3 units by grad students.,Patrick Young; P. Young,"Fall 2020, Spring 2020, Fall 2019, Spring 2019, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/105/
stanford,CS,106A,CS 106A - Programming Methodology,"Introduction to the engineering of computer applications emphasizing modern software engineering principles: object-oriented design, decomposition, encapsulation, abstraction, and testing. Emphasis is on good programming style and the built-in facilities of respective languages. No prior programming experience required. Summer quarter enrollment is limited. Alternative versions of CS106A are available which cover most of the same material but in different programming languages: Java [Fall, Win, Spr, or Sum qtr enroll in CS106A Section 1] Javascript [Fall qtr enroll in CS 106A Section 2] Python [Winter or Spring qtr enroll in CS 106A Section 3]. Class Notes: May be taken for 3 units by graduate students.",Nick Parlante; Chris Piech; N. Parlante; J. Cain; M. Sahami; C. Piech,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/106A/
stanford,CS,106B,CS 106B - Programming Abstractions,"Abstraction and its relation to programming. Software engineering principles of data abstraction and modularity. Object-oriented programming, fundamental data structures (such as stacks, queues, sets) and data-directed design. Recursion and recursive data structures (linked lists, trees, graphs). Introduction to time and space complexity analysis. Uses the programming language C++ covering its basic facilities. Prerequisite: 106A or equivalent. Summer quarter enrollment is limited. Class Notes: Same as Eng 70B. May be taken for 3 units by graduate students. Discussion sections assigned after first week of class via CS198 website; do not enroll in sections through Axess.",Keith Schwarz; Christopher Gregg; Julie Zelenski; C. Lee; M. Stepp; C. Gregg,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/106B/
stanford,CS,106E,CS 106E - Exploration of Computing,"A follow up class to CS106A for non-majors which will both provide practical web programming skills and cover essential computing topics including computer security and privacy. Additional topics will include digital representation of images and music, an exploration of how the Internet works, and a look at the internals of the computer. Students taking the course for 4 units will be required to carry out supplementary programming assignments in addition to the course's regular assignments. Prerequisite: 106A or equivalent. Class Notes: Graduate students may take this course for 3 units.",Patrick Young; P. Young,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/106E/
stanford,CS,106L,CS 106L - Standard C++ Programming Laboratory,,Keith Schwarz; Julie Zelenski; C. Lee; A. Malik,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/106L/
stanford,CS,106S,CS 106S - Coding for Social Good,,Jerry Cain; J. Cain,"Winter 2020, Fall 2020, Spring 2020, Spring 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/106S/
stanford,CS,106X,CS 106X - Programming Abstractions (Accelerated),"Intensive version of 106B for students with a strong programming background interested in a rigorous treatment of the topics at an accelerated pace. Additional advanced material and more challenging projects. Winter quarter assignments will be based in CS department research. Prerequisite: excellence in 106A or equivalent, or consent of instructor. Winter quarter enrollment limited to 30. Class Notes: Discussion section enrollment is done in-class the first week, not on Axess.",J. Cain; N. Troccoli; M. Stepp,"Fall 2019, Fall 2018, Winter 2017, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/106X/
stanford,CS,106AJ,CS 106AJ - Programming Methodology in JavaScript,"Introduction to the engineering of computer applications emphasizing modern software engineering principles: object-oriented design, decomposition, encapsulation, abstraction, and testing. Uses the JavaScript programming language. Emphasis is on good programming style and the built-in facilities of the JavaScript language. No prior programming experience required. This course covers most of the same material as CS106A Section 1 in Java and CS 106A Section 3 in Python, but this course uses the JavaScript programming language. To enroll in this class, enroll in CS 106A Section 2 for Fall Qtr.May be taken for 3 units by grad students. Class Notes: Students should enroll in this course through section 2 of CS106A. Discussion section enrollment is done in-class the first week, not on Axess. May be taken for 3 units by graduate students.",J. Cain,"Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/106AJ/
stanford,CS,106AP,CS 106AP - Programming Methodology in Python,"Introduction to the engineering of computer applications in Python, emphasizing modern software engineering principles: decomposition, abstraction, and testing. Emphasis is on good programming style. This course covers most of the same material as CS106A Section 1 in Java and CS 106A Section 2 in JavaScript, but this course uses the Python programming language which is popular for general engineering and web development. Required readings will all be available for free on the web. Students are encouraged to bring a laptop to lecture to do the live exercises which are integrated with lecture. No prior programming experience required. To enroll in this class, enroll in CS 106A Section 3. May be taken for 3 units by grad students. Enrollment is limited for winter quarter 2017-18 but from spring quarter 2017-18 enrollment will be unlimited. Class Notes: To enroll in this class, enroll in CS106A Section 3. Graduate students may take this course for 3 units.",N. Parlante,"Spring 2019, Spring 2018, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/106AP/
stanford,CS,106AX,CS 106AX - Programming Methodologies in JavaScript and Python (Accelerated),,David Varodayan; J. Cain,"Spring 2020, Fall 2019",,https://www.coursicle.com/stanford/courses/CS/106AX/
stanford,CS,107A,CS 107A - Problem-solving Lab for CS107,,Jerry Cain; Nicholas Troccoli,"Winter 2020, Fall 2020",,https://www.coursicle.com/stanford/courses/CS/107A/
stanford,CS,107E,CS 107E - Computer Systems from the Ground Up,"Introduction to the fundamental concepts of computer systems through bare metal programming on the Raspberry Pi. Explores how five concepts come together in computer systems: hardware, architecture, assembly code, the C language, and software development tools. Students do all programming with a Raspberry Pi kit and several add-ons (LEDs, buttons). Topics covered include: the C programming language, data representation, machine-level code, computer arithmetic, compilation, memory organization and management, debugging, hardware, and I/O. Prerequisite: 106B or X, and consent of instructor. There is a $50 required lab fee. Class Notes: May be taken for 3 units by graduate students. Enrollment limited to 40. Consent of instructor required. $50 lab fee required. Attend first class for further instructions. See site for details: cs107e.stanford.edu.",Pat Hanrahan; Philip Levis; C. Gregg; J. Zelenski,"Winter 2020, Fall 2020, Spring 2020, Fall 2018, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/107E/
stanford,CS,108,CS 108 - Object-Oriented Systems Design,"Software design and construction in the context of large OOP libraries. Taught in Java. Topics: OOP design, design patterns, testing, graphical user interface (GUI) OOP libraries, software engineering strategies, approaches to programming in teams. Prerequisite: 107. Class Notes: May be taken for 3 units by graduate students.",Patrick Young; P. Young,"Winter 2020, Fall 2018, Winter 2017, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/108/
stanford,CS,109,CS 109 - Introduction to Probability for Computer Scientists,"Topics include: counting and combinatorics, random variables, conditional probability, independence, distributions, expectation, point estimation, and limit theorems. Applications of probability in computer science including machine learning and the use of probability in the analysis of algorithms. Prerequisites: 103, 106B or X, multivariate calculus at the level of MATH 51 or CME 100 or equivalent. Class Notes: May be taken for 3 units by graduate students.",David Varodayan; Lisa Yan; L. Yan; C. Piech; M. Sahami,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/109/
stanford,CS,110,CS 110 - Principles of Computer Systems,"Principles and practice of engineering of computer software and hardware systems. Topics include: techniques for controlling complexity; strong modularity using client-server design, virtual memory, and threads; networks; atomicity and coordination of parallel activities; security, and encryption; and performance optimizations. Prerequisite: 107. Class Notes: May be taken for 3 units by graduate students.",Christopher Gregg; Jerry Cain; C. Gregg; J. Cain,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/110/
stanford,CS,110L,CS 110L - Principles of Computer Systems Laboratory,,Jerry Cain,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/110L/
stanford,CS,124,CS 124 - From Languages to Information,,Dan Jurafsky; D. Jurafsky,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/124/
stanford,CS,129,CS 129 - Applied Machine Learning,,Younes Mourri; Andrew Ng; A. Ng,"Winter 2020, Fall 2020, Spring 2020, Fall 2019",,https://www.coursicle.com/stanford/courses/CS/129/
stanford,CS,131,CS 131 - Computer Vision: Foundations and Applications,"Robots that can navigate space and perform duties, search engines that can index billions of images and videos, algorithms that can diagnose medical images for diseases, or smart cars that can see and drive safely: Lying in the heart of these modern AI applications are computer vision technologies that can perceive, understand and reconstruct the complex visual world. This course is designed for students who are interested in learning about the fundamental principles and important applications of computer vision. Course will introduce a number of fundamental concepts in computer vision and expose students to a number of real-world applications, plus guide students through a series of projects such that they will get to implement cutting-edge computer vision algorithms. Prerequisites: Students should be familiar with Python (i.e. have programmed in Python before) and Linux; plus Calculus & Linear Algebra. Class Notes: May be taken for 3 units by graduate students.",Niebles Duque; J. Duque,"Fall 2019, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/131/
stanford,CS,140,CS 140 - Operating Systems and Systems Programming,"Operating systems design and implementation. Basic structure; synchronization and communication mechanisms; implementation of processes, process management, scheduling, and protection; memory organization and management, including virtual memory; I/O device management, secondary storage, and file systems. Prerequisite: CS 110. Class Notes: May be taken for 3 units by graduate students.",David Mazieres; John Ousterhout; J. Ousterhout; D. Mazieres,"Winter 2020, Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/140/
stanford,CS,140E,CS 140E - Operating systems design and implementation,,Dawson Engler; D. Engler,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/140E/
stanford,CS,141,CS 141 - Introduction to Computer Sound,,D. James,Spring 2019,,https://www.coursicle.com/stanford/courses/CS/141/
stanford,CS,143,CS 143 - Compilers,"Principles and practices for design and implementation of compilers and interpreters. Topics: lexical analysis; parsing theory; symbol tables; type systems; scope; semantic analysis; intermediate representations; runtime environments; code generation; and basic program analysis and optimization. Students construct a compiler for a simple object-oriented language during course programming projects. Prerequisites: 103 or 103B, and 107. Class Notes: May be taken for 3 units by graduate students.",Fredrik Kjoelstad; S. Chandra; A. Aiken,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/143/
stanford,CS,145,CS 145 - Data Management and Data Systems,"The course covers database design and the use of database management systems for applications. It includes extensive coverage of the relational model, relational algebra, and SQL.The course includes database design and relational design principles based on dependencies and normal forms. Many additional key database topics from the design and application-building perspective are also covered: indexes, views, transactions, authorization, integrity constraints, triggers, on-line analytical processing (OLAP), JSON, and emerging NoSQL systems. Class time will include guest speakers from industry and additional advanced topics as time and class interest permits. Prerequisites: 103 and 107 (or equivalent). Class Notes: May be taken for 3 units by graduate students.",N. Shivakumar; P. Bailis,"Fall 2019, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/145/
stanford,CS,146,CS 146 - Introduction to Game Design and Development,,D. James,"Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/146/
stanford,CS,147,CS 147 - Introduction to Human-Computer Interaction Design,"Introduces fundamental methods and principles for designing, implementing, and evaluating user interfaces. Topics: user-centered design, rapid prototyping, experimentation, direct manipulation, cognitive principles, visual design, social software, software tools. Learn by doing: work with a team on a quarter-long design project, supported by lectures, readings, and studios. Prerequisite: 106B or X or equivalent programming experience. Recommended that CS Majors have also taken one of 142, 193P, or 193A.",J. Landay,"Fall 2019, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/147/
stanford,CS,151,CS 151 - Logic Programming,,Michael Genesereth; M. Genesereth,"Fall 2020, Spring 2020, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/151/
stanford,CS,154,CS 154 - Introduction to Automata and Complexity Theory,"This course provides a mathematical introduction to the following questions: What is computation? Given a computational model, what problems can we hope to solve in principle with this model? Besides those solvable in principle, what problems can we hope to efficiently solve? In many cases we can give completely rigorous answers; in other cases, these questions have become major open problems in computer science and mathematics. By the end of this course, students will be able to classify computational problems in terms of their computational complexity (Is the problem regular? Not regular? Decidable? Recognizable? Neither? Solvable in P? NP-complete? PSPACE-complete?, etc.). Students will gain a deeper appreciation for some of the fundamental issues in computing that are independent of trends of technology, such as the Church-Turing Thesis and the P versus NP problem. Prerequisites: CS 103 or 103B. Class Notes: Graduate students may take for 3 units.",O. Reingold,"Fall 2019, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/154/
stanford,CS,21SI,CS 21SI - AI for Social Good,"Students will learn about and apply cutting-edge artificial intelligence techniques to real-world social good spaces (such as healthcare, government, education, and environment). Taught jointly by CS+Social Good and the Stanford AI Group, the aim of the class is to empower students to apply these techniques outside of the classroom. The class will focus on techniques from machine learning and deep learning, including regression, support vector machines (SVMs), neural networks, convolutional neural networks (CNNs), and recurrent neural networks (RNNs). The course alternates between lectures on machine learning theory and discussions with invited speakers, who will challenge students to apply techniques in their social good domains. Students complete weekly coding assignments reinforcing machine learning concepts and applications. Prerequisites: programming experience at the level of CS107, mathematical fluency at the level of CS103, comfort with probability at the level of CS109 (or equivalent). Application required for enrollment. Class Notes: Student-initiated course. Enrollment limited to 20. Application required. Apply at: https://aiforsocialgood.typeform.com/to/Qon2xm The application will be due Saturday, March 10 at 11:59pm.",C. Piech,Spring 2018,2,https://www.coursicle.com/stanford/courses/CS/21SI/
stanford,CS,28,"CS 28 - Artificial Intelligence, Entrepreneurship and Society in the 21st Century and Beyond","Technical developments in artificial intelligence (AI) have opened up newopportunities for entrepreneurship, as well as raised profound longer termquestions about how human societal and economic systems may bere足organized to accommodate the rise of intelligent machines. In thiscourse, closely co足taught by a Stanford professor and a leading SiliconValley venture capitalist, we will examine the current state of the artcapabilities of existing artificial intelligence systems, as well aseconomic challenges and opportunities in early stage startups and largecompanies that could leverage AI. We will focus on gaps between businessneeds and current technical capabilities to identify high impactdirections for the development of future AI technology. Simultaneously, wewill explore the longer term societal impact of AI driven by inexorabletrends in technology and entrepreneurship. The course includes guestlectures from leading technologists and entrepreneurs who employ AI in avariety of fields, including healthcare, education, self足driving cars,computer security, natural language interfaces, computer vision systems,and hardware acceleration. Class Notes: Application, consent of instructor, and permission number required. To enroll apply here: https://ganguli-gang.stanford.edu/cs28_fall2017.html Deadline to apply: Sept. 22.",S. Ganguli,Fall 2017,2,https://www.coursicle.com/stanford/courses/CS/28/
stanford,CS,41,CS 41 - Hap.py Code: the Python Programming Language,,Jerry Cain,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/41/
stanford,CS,42,CS 42 - Callback Me Maybe: Contemporary Javascript,,K. Schwarz,"Spring 2018, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/42/
stanford,CS,45N,CS 45N - Computers and Photography: From Capture to Sharing,"Preference to freshmen with experience in photography and use of computers. Elements of photography, such as lighting, focus, depth of field, aperture, and composition. How a photographer makes photos available for computer viewing, reliably stores them, organizes them, tags them, searches them, and distributes them online. No programming experience required. Digital SLRs and editing software will be provided to those students who do not wish to use their own. Class Notes: Advance sign-up process and deadlines at http://introsems.stanford.edu.",H. Garcia-Molina,"Fall 2019, Spring 2019, Fall 2018, Spring 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/45N/
stanford,CS,47,CS 47 - Cross-Platform Mobile Development,,J. Landay,"Fall 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/47/
stanford,CS,47SI,CS 47SI - Cross-Platform Mobile Development,,J. Landay,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/47SI/
stanford,CS,49N,CS 49N - Using Bits to Control Atoms,"This is a crash course in how to use a stripped-down computer system about the size of a credit card (the rasberry pi computer) to control as manydifferent sensors as we can implement in ten weeks, including LEDs, motion sensors, light controllers, and accelerometers. The ability to fearlesslygrab a set of hardware devices, examine the data sheet to see how to use it, and stitch them together using simple code is a secret weapon thatsoftware-only people lack, and allows you to build many interesting gadgets. We will start with a ""bare metal'' system --- no operatingsystem, no support --- and teach you how to read device data sheets describing sensors and write the minimal code needed to control them(including how to debug when things go wrong, as they always do). This course differs from most in that it is deliberately mostly about what andwhy rather than how --- our hope is that the things you are able at the end will inspire you to follow the rest of the CS curriculum to understandbetter how things you've used work. Prerequisites: knowledge of the C programming language. A Linux or Mac laptop that you are comfortablecoding on. Class Notes: Introductory Seminar. Preference to first-year students; sophomores admitted if space available. Advance sign-up process and deadlines at http://introsems.stanford.edu.",Dawson Engler; D. Engler,"Spring 2020, Spring 2019, Spring 2018",3,https://www.coursicle.com/stanford/courses/CS/49N/
stanford,CS,50,CS 50 - Using Tech for Good,"Students in the class will work in small teams to implement high-impact projects for partner organizations. Taught by the CS+Social Good team, the aim of the class is to empower you to leverage technology for social good by inspiring action, facilitating collaboration, and forging pathways towards global change. Recommended: CS 106B, CS 42 or 142. Class is open to students of all years. May be repeated for credit. Cardinal Course certified by the Haas Center. Class Notes: Enrollment limited to 50. Application, consent of instructors, and permission number required. Apply at bit.ly/cs50spring18app by 11:59pm on 3/14.",J. Cain,"Spring 2018, Fall 2017",2,https://www.coursicle.com/stanford/courses/CS/50/
stanford,CS,107,CS 107 - Computer Organization and Systems,"Introduction to the fundamental concepts of computer systems. Explores how computer systems execute programs and manipulate data, working from the C programming language down to the microprocessor. Topics covered include: the C programming language, data representation, machine-level code, computer arithmetic, elements of code compilation, memory organization and management, and performance evaluation and optimization. Prerequisites: 106B or X, or consent of instructor. Class Notes: May be taken for 3 units by graduate students.",Jerry Cain; Nicholas Troccoli; N. Troccoli; C. Lee; J. Zelenski; C. Gregg,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/107/
stanford,CS,142,CS 142 - Web Applications,"Concepts and techniques used in constructing interactive web applications. Browser-side web facilities such as HTML, cascading stylesheets, the document object model, and JavaScript frameworks and Server-side technologies such as server-side JavaScript, sessions, and object-oriented databases. Issues in web security and application scalability. New models of web application deployment. Prerequisites: CS 107 and CS 108.",Mendel Rosenblum; M. Rosenblum,"Winter 2020, Fall 2020, Spring 2020, Spring 2019, Spring 2018",3,https://www.coursicle.com/stanford/courses/CS/142/
stanford,CS,144,CS 144 - Introduction to Computer Networking,"Principles and practice. Structure and components of computer networks, packet switching, layered architectures. Applications: web/http, voice-over-IP, p2p file sharing and socket programming. Reliable transport: TCP/IP, reliable transfer, flow control, and congestion control. The network layer: names and addresses, routing. Local area networks: ethernet and switches. Wireless networks and network security. Prerequisite: CS 110. Class Notes: May be taken by graduate students for 3 units.",K. Winstein,"Fall 2019, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/144/
